date,n1,n2,n3,n4,n5,n6
2010-04-05,16,22,30,31,39,43
2010-04-08,2,19,25,30,31,33
2010-04-12,12,13,14,16,21,36
2010-04-15,1,26,31,32,35,42
2010-04-19,10,18,20,25,38,39
2010-04-22,1,3,9,19,28,30
2010-04-26,8,10,21,30,31,42
2010-04-29,3,31,33,34,39,41
2010-05-03,5,6,17,25,33,39
2010-05-06,8,16,25,31,41,42
2010-05-10,9,19,20,29,39,40
2010-05-13,2,3,12,13,14,41
2010-05-17,4,13,19,24,28,38
2010-05-20,6,11,12,17,28,30
2010-05-24,7,17,20,32,38,40
2010-05-27,10,25,26,34,38,40
2010-05-31,10,11,13,18,28,39
2010-06-03,10,15,20,30,38,41
2010-06-07,5,8,14,22,24,30
2010-06-10,3,5,9,25,31,32
2010-06-14,2,6,14,18,22,36
2010-06-17,4,11,17,29,30,31
2010-06-21,14,25,27,28,31,37
2010-06-24,4,14,27,31,35,42
2010-06-28,3,6,13,17,24,26
2010-07-01,18,20,22,28,29,30
2010-07-05,4,13,18,21,26,27
2010-07-08,3,8,13,17,21,33
2010-07-12,2,12,15,19,23,39
2010-07-15,2,11,17,29,33,34
2010-07-19,7,9,10,15,20,32
2010-07-22,5,11,15,17,21,32
2010-07-26,15,16,29,31,41,42
2010-07-29,14,16,17,19,22,27
2010-08-02,13,14,26,33,34,37
2010-08-05,9,13,20,23,27,28
2010-08-09,14,17,30,31,39,41
2010-08-12,5,17,20,26,38,39
2010-08-16,15,16,25,28,35,42
2010-08-19,11,16,24,27,28,40
2010-08-23,10,14,17,26,33,35
2010-08-26,10,14,17,26,33,35
2010-08-30,2,5,10,13,19,24
2010-09-02,1,5,15,21,34,42
2010-09-06,3,10,21,32,33,36
2010-09-09,6,12,13,20,32,36
2010-09-13,5,6,11,14,28,36
2010-09-16,2,3,4,6,22,41
2010-09-20,2,16,31,34,37,42
2010-09-23,6,7,20,21,25,28
2010-09-27,2,5,6,8,33,40
2010-09-30,24,29,30,31,35,40
2010-10-04,3,9,27,28,30,39
2010-10-07,11,19,24,32,35,40
2010-10-11,7,11,21,22,26,29
2010-10-14,3,17,29,36,37,43
2010-10-18,24,30,32,36,37,40
2010-10-21,13,22,23,28,30,34
2010-10-25,13,22,23,28,30,34
2010-10-28,1,7,15,29,31,41
2010-11-01,6,7,21,31,38,42
2010-11-04,10,11,15,18,32,33
2010-11-08,2,5,9,17,31,40
2010-11-11,2,19,21,27,30,38
2010-11-15,2,7,21,30,37,43
2010-11-18,4,7,22,34,37,41
2010-11-22,6,7,12,13,15,17
2010-11-25,1,2,12,15,17,23
2010-11-29,5,6,8,15,26,29
2010-12-02,3,7,15,23,29,30
2010-12-06,10,13,15,16,22,43
2010-12-09,6,17,20,22,30,32
2010-12-13,8,16,22,24,31,39
2010-12-16,1,3,17,24,34,43
2010-12-20,1,6,10,22,28,29
2010-12-23,11,13,17,25,31,42
2010-12-27,10,30,35,36,39,40
2010-12-30,13,25,27,33,35,39
2011-01-03,13,21,25,29,32,34
2011-01-06,16,23,28,32,37,43
2011-01-10,13,16,21,29,32,43
2011-01-13,4,20,21,22,23,27
2011-01-17,13,16,20,23,26,40
2011-01-20,1,4,15,29,31,42
2011-01-24,3,11,14,33,42,43
2011-01-27,1,5,17,25,26,33
2011-01-31,1,24,29,34,37,43
2011-02-03,3,7,11,23,24,29
2011-02-07,6,14,26,27,31,32
2011-02-10,8,10,11,16,32,40
2011-02-14,3,7,9,26,31,36
2011-02-17,4,10,21,25,27,33
2011-02-21,10,18,23,27,28,37
2011-02-24,7,15,19,27,34,41
2011-02-28,7,11,24,34,37,39
2011-03-03,11,17,20,26,32,37
2011-03-07,3,8,14,17,23,34
2011-03-10,1,4,26,38,39,43
2011-03-14,4,11,33,34,38,39
2011-03-17,2,5,19,21,36,39
2011-03-21,2,14,16,17,20,41
2011-03-24,1,7,8,11,18,34
2011-03-28,3,11,14,26,28,43
2011-03-31,2,6,13,26,36,43
2011-04-04,8,14,17,32,34,42
2011-04-07,1,2,28,33,37,40
2011-04-11,2,24,28,34,36,41
2011-04-14,11,25,29,34,41,43
2011-04-18,1,4,11,16,19,34
2011-04-21,13,26,27,34,36,38
2011-04-25,9,12,18,20,29,41
2011-04-28,11,17,19,25,34,41
2011-05-02,2,13,19,28,32,37
2011-05-05,3,7,18,28,33,36
2011-05-09,9,23,26,27,33,41
2011-05-12,1,24,30,31,34,36
2011-05-16,1,8,10,39,40,43
2011-05-19,11,12,13,20,28,31
2011-05-23,4,13,14,19,20,25
2011-05-26,17,20,22,25,26,38
2011-05-30,10,15,25,26,30,33
2011-06-02,12,20,27,39,40,42
2011-06-06,6,14,17,21,23,24
2011-06-09,8,9,17,24,38,40
2011-06-13,7,9,11,13,17,18
2011-06-16,10,14,15,19,26,39
2011-06-20,1,18,22,24,32,39
2011-06-23,4,5,13,22,32,40
2011-06-27,5,6,7,9,19,34
2011-06-30,3,14,22,29,36,38
2011-07-04,3,9,11,12,24,38
2011-07-07,7,9,16,26,28,42
2011-07-11,2,4,7,31,32,41
2011-07-14,2,18,20,29,32,40
2011-07-18,3,18,19,27,42,43
2011-07-21,1,17,21,24,31,39
2011-07-25,1,6,8,16,27,34
2011-07-28,11,14,15,27,36,43
2011-08-01,5,8,9,24,27,43
2011-08-04,1,23,25,29,30,40
2011-08-08,3,4,10,11,22,42
2011-08-11,2,10,19,27,30,32
2011-08-15,6,15,22,24,30,43
2011-08-18,9,10,13,19,24,26
2011-08-22,2,12,23,34,39,40
2011-08-25,4,8,25,29,38,41
2011-08-29,2,10,14,16,22,43
2011-09-01,12,14,27,29,38,40
2011-09-05,13,24,28,35,36,41
2011-09-08,2,16,24,33,35,43
2011-09-12,22,30,34,35,36,37
2011-09-15,16,21,30,33,34,41
2011-09-19,13,20,22,27,35,42
2011-09-22,3,17,24,26,41,42
2011-09-26,4,9,15,32,33,39
2011-09-29,7,15,23,27,39,43
2011-10-03,10,12,13,17,34,39
